station_name,all_day_boarding,all_day_alighting,morning_boarding,morning_alighting,evening_boarding,evening_alighting,calculated_weekday_average,morning_net_inflow,evening_net_outflow,employment_flow,residential_flow,peak_direction_total,orientation_score,peak_concentration,lines,weekday_average,weekend_average,relative_weekend_index,station_type,weekday_average_difference,commute_pattern,orientation_rank,weekday_volume_rank
송정,7003,6619,2289,1027,1236,1916,13622,-1263,-681,2262,4206,6468,-0.3,0.475,5호선,13622,9368,1.061,Balanced,0.193,주거 유출·귀가형,143,214
개화산,6890,6550,2570,1176,1221,2001,13440,-1393,-780,2398,4571,6969,-0.312,0.518,5호선,13440,7905,0.907,Balanced,0.045,주거 유출·귀가형,146,215
잠원,6801,6510,2253,1117,1272,1806,13311,-1135,-534,2390,4059,6449,-0.259,0.484,3호선,13311,7813,0.905,Balanced,0.148,주거 유출·귀가형,135,216
강일,6857,6402,3015,799,889,2229,13259,-2216,-1340,1687,5243,6931,-0.513,0.523,5호선,13259,7792,0.906,Balanced,-0.418,주거 유출·귀가형,205,217
마장,6666,6278,2054,1390,1240,1688,12944,-664,-448,2630,3743,6373,-0.175,0.492,5호선,12944,7763,0.925,Balanced,-0.09,주거 유출·귀가형,120,218
용마산(용마폭포공원),6359,6212,2824,747,751,2170,12571,-2077,-1419,1497,4994,6491,-0.539,0.516,7호선,12571,8240,1.011,Balanced,-0.156,주거 유출·귀가형,211,219
수진,6106,5690,2162,987,855,1631,11797,-1175,-776,1842,3793,5636,-0.346,0.478,8호선,11797,8294,1.084,Balanced,-0.242,주거 유출·귀가형,154,220
신흥,5811,5925,2265,606,862,2000,11735,-1659,-1138,1467,4265,5732,-0.488,0.488,8호선,11735,8097,1.064,Balanced,0.279,주거 유출·귀가형,200,221
신길,5552,5842,2417,1164,1128,1989,11394,-1253,-861,2292,4406,6698,-0.316,0.588,5호선,11394,6949,0.941,Balanced,-0.385,주거 유출·귀가형,147,222
녹사평(용산구청),5550,5594,748,1561,1730,1312,11143,813,418,3291,2060,5351,0.23,0.48,6호선,11143,10678,1.478,Weekend-relative-strong,0.295,업무 유입형,59,223
월드컵경기장(성산),5268,5563,981,824,1015,1744,10832,-157,-729,1839,2726,4565,-0.194,0.421,6호선,10832,16488,2.348,Weekend-relative-strong,-0.135,주거 유출·귀가형,123,224
올림픽공원(한국체대),5600,4812,1488,991,1044,1249,10412,-497,-204,2035,2736,4771,-0.147,0.458,5호선,10412,10945,1.621,Weekend-relative-strong,0.361,혼합형,114,225
하남풍산,5150,5121,1279,1457,1300,1175,10271,178,125,2757,2454,5211,0.058,0.507,5호선,10271,6654,0.999,Balanced,0.148,혼합형,81,226
모란,5729,4497,1184,996,1233,934,10226,-188,299,2228,2117,4346,0.026,0.425,8호선,10226,7966,1.201,Weekend-relative-strong,0.025,혼합형,88,227
무악재,4748,4710,2042,499,644,1696,9459,-1543,-1052,1142,3738,4880,-0.532,0.516,3호선,9459,5806,0.947,Balanced,-0.459,주거 유출·귀가형,208,228
역촌,4281,5056,1807,638,532,1777,9337,-1169,-1245,1170,3584,4754,-0.508,0.509,6호선,9337,5890,0.973,Balanced,0.168,주거 유출·귀가형,204,229
창신,4128,3441,1817,631,518,1027,7569,-1186,-510,1149,2844,3993,-0.425,0.528,6호선,7569,4140,0.844,Balanced,-0.422,주거 유출·귀가형,174,230
용답,3472,3446,1303,434,513,1082,6918,-869,-569,947,2386,3333,-0.432,0.482,2호선,6918,4543,1.013,Balanced,-0.307,주거 유출·귀가형,176,231
독바위,3032,3170,1433,285,297,1178,6201,-1148,-881,582,2611,3193,-0.635,0.515,6호선,6201,4071,1.012,Balanced,0.316,주거 유출·귀가형,235,232
용두(동대문구청),2857,2908,907,496,523,844,5765,-410,-321,1019,1751,2770,-0.264,0.48,2호선,5765,3750,1.003,Balanced,-0.238,주거 유출·귀가형,137,233
학여울,2570,2595,553,711,738,531,5165,158,207,1448,1084,2532,0.144,0.49,3호선,5165,4948,1.477,Weekend-relative-strong,0.311,혼합형,68,234
동작(현충원),2441,2644,319,619,742,469,5086,300,272,1361,788,2149,0.266,0.423,4호선,5086,3760,1.14,Balanced,-0.385,업무 유입형,53,235
버티고개,2550,2504,768,530,630,678,5054,-239,-48,1160,1446,2605,-0.11,0.516,6호선,5054,3316,1.012,Balanced,-0.32,혼합형,104,236
장암,3100,1257,1553,159,288,386,4357,-1394,-98,447,1939,2386,-0.625,0.548,7호선,4357,3418,1.21,Weekend-relative-strong,0.332,주거 유출·귀가형,232,237
신답,1877,2125,991,158,201,932,4002,-834,-731,359,1924,2283,-0.685,0.57,2호선,4002,2183,0.841,Balanced,0.393,주거 유출·귀가형,240,238
도림천,1537,1609,412,497,368,374,3146,85,-6,865,786,1651,0.048,0.525,2호선,3146,1826,0.895,Balanced,0.266,혼합형,84,239
남태령,1628,1426,347,609,492,199,3054,262,293,1101,545,1646,0.337,0.539,4호선,3054,1859,0.939,Balanced,-0.254,업무 유입형,48,240
