date,passenger_count,weekday_num,weekday,is_weekend,holiday_name,is_holiday,day_type,day_type_order
2025-03-21,10927781.0,4,금,False,,False,Ordinary weekday,0
2025-03-22,8493728.0,5,토,True,,False,Ordinary weekend,1
2025-03-23,5700253.0,6,일,True,,False,Ordinary weekend,1
2025-03-24,10080203.0,0,월,False,,False,Ordinary weekday,0
2025-03-25,10421758.0,1,화,False,,False,Ordinary weekday,0
2025-03-26,10512532.0,2,수,False,,False,Ordinary weekday,0
2025-03-27,10499410.0,3,목,False,,False,Ordinary weekday,0
2025-03-28,10917945.0,4,금,False,,False,Ordinary weekday,0
2025-03-29,8030643.0,5,토,True,,False,Ordinary weekend,1
2025-03-30,5540520.0,6,일,True,,False,Ordinary weekend,1
2025-03-31,10010707.0,0,월,False,,False,Ordinary weekday,0
2025-04-01,10282320.0,1,화,False,,False,Ordinary weekday,0
2025-04-02,10360661.0,2,수,False,,False,Ordinary weekday,0
2025-04-03,10622429.0,3,목,False,,False,Ordinary weekday,0
2025-04-04,10582777.0,4,금,False,,False,Ordinary weekday,0
2025-04-05,7012637.0,5,토,True,,False,Ordinary weekend,1
2025-04-06,6149135.0,6,일,True,,False,Ordinary weekend,1
2025-04-07,10180588.0,0,월,False,,False,Ordinary weekday,0
2025-04-08,10573842.0,1,화,False,,False,Ordinary weekday,0
2025-04-09,10464035.0,2,수,False,,False,Ordinary weekday,0
2025-04-10,10657785.0,3,목,False,,False,Ordinary weekday,0
2025-04-11,11203748.0,4,금,False,,False,Ordinary weekday,0
2025-04-12,7477836.0,5,토,True,,False,Ordinary weekend,1
2025-04-13,5270467.0,6,일,True,,False,Ordinary weekend,1
2025-04-14,9619532.0,0,월,False,,False,Ordinary weekday,0
2025-04-15,10448778.0,1,화,False,,False,Ordinary weekday,0
2025-04-16,10499326.0,2,수,False,,False,Ordinary weekday,0
2025-04-17,10469870.0,3,목,False,,False,Ordinary weekday,0
2025-04-18,10713302.0,4,금,False,,False,Ordinary weekday,0
2025-04-19,7217526.0,5,토,True,,False,Ordinary weekend,1
2025-04-20,5986341.0,6,일,True,,False,Ordinary weekend,1
2025-04-21,10045726.0,0,월,False,,False,Ordinary weekday,0
2025-04-22,9678098.0,1,화,False,,False,Ordinary weekday,0
2025-04-23,10517191.0,2,수,False,,False,Ordinary weekday,0
2025-04-24,10606219.0,3,목,False,,False,Ordinary weekday,0
2025-04-25,10990876.0,4,금,False,,False,Ordinary weekday,0
2025-04-26,8533736.0,5,토,True,,False,Ordinary weekend,1
2025-04-27,5915662.0,6,일,True,,False,Ordinary weekend,1
2025-04-28,10262414.0,0,월,False,,False,Ordinary weekday,0
2025-04-29,10510263.0,1,화,False,,False,Ordinary weekday,0
2025-04-30,10950186.0,2,수,False,,False,Ordinary weekday,0
2025-05-01,6743730.0,3,목,False,,False,Ordinary weekday,0
2025-05-02,10205409.0,4,금,False,,False,Ordinary weekday,0
2025-05-03,7113835.0,5,토,True,,False,Ordinary weekend,1
2025-05-04,6462100.0,6,일,True,,False,Ordinary weekend,1
2025-05-05,5943604.0,0,월,False,부처님오신날; 어린이날,True,Public holiday,2
2025-05-06,5717566.0,1,화,False,부처님오신날 대체 휴일; 어린이날 대체 휴일,True,Public holiday,2
2025-05-07,10271169.0,2,수,False,,False,Ordinary weekday,0
2025-05-08,10348660.0,3,목,False,,False,Ordinary weekday,0
2025-05-09,10433374.0,4,금,False,,False,Ordinary weekday,0
2025-05-10,7247303.0,5,토,True,,False,Ordinary weekend,1
2025-05-11,5984713.0,6,일,True,,False,Ordinary weekend,1
2025-05-12,10286533.0,0,월,False,,False,Ordinary weekday,0
2025-05-13,10509392.0,1,화,False,,False,Ordinary weekday,0
2025-05-14,10676798.0,2,수,False,,False,Ordinary weekday,0
2025-05-15,10473603.0,3,목,False,,False,Ordinary weekday,0
2025-05-16,10627338.0,4,금,False,,False,Ordinary weekday,0
2025-05-17,8120114.0,5,토,True,,False,Ordinary weekend,1
2025-05-18,6119738.0,6,일,True,,False,Ordinary weekend,1
2025-05-19,10018960.0,0,월,False,,False,Ordinary weekday,0
2025-05-20,10361978.0,1,화,False,,False,Ordinary weekday,0
2025-05-21,10490800.0,2,수,False,,False,Ordinary weekday,0
2025-05-22,10511524.0,3,목,False,,False,Ordinary weekday,0
2025-05-23,10897268.0,4,금,False,,False,Ordinary weekday,0
2025-05-24,8027408.0,5,토,True,,False,Ordinary weekend,1
2025-05-25,6106780.0,6,일,True,,False,Ordinary weekend,1
2025-05-26,10147512.0,0,월,False,,False,Ordinary weekday,0
2025-05-27,10421769.0,1,화,False,,False,Ordinary weekday,0
2025-05-28,10493852.0,2,수,False,,False,Ordinary weekday,0
2025-05-29,10503545.0,3,목,False,,False,Ordinary weekday,0
2025-05-30,10789596.0,4,금,False,,False,Ordinary weekday,0
2025-05-31,7835625.0,5,토,True,,False,Ordinary weekend,1
2025-06-01,5677601.0,6,일,True,,False,Ordinary weekend,1
2025-06-02,9914022.0,0,월,False,,False,Ordinary weekday,0
2025-06-03,5878064.0,1,화,False,대통령 선거일; 제21대 대통령선거일,True,Public holiday,2
2025-06-04,10162434.0,2,수,False,,False,Ordinary weekday,0
2025-06-05,10581665.0,3,목,False,,False,Ordinary weekday,0
2025-06-06,6608893.0,4,금,False,현충일,True,Public holiday,2
2025-06-07,6898221.0,5,토,True,,False,Ordinary weekend,1
2025-06-08,5231008.0,6,일,True,,False,Ordinary weekend,1
2025-06-09,9865001.0,0,월,False,,False,Ordinary weekday,0
2025-06-10,10243070.0,1,화,False,,False,Ordinary weekday,0
2025-06-11,10326366.0,2,수,False,,False,Ordinary weekday,0
2025-06-12,10439078.0,3,목,False,,False,Ordinary weekday,0
2025-06-13,10708210.0,4,금,False,,False,Ordinary weekday,0
2025-06-14,7859790.0,5,토,True,,False,Ordinary weekend,1
2025-06-15,5435462.0,6,일,True,,False,Ordinary weekend,1
2025-06-16,9763765.0,0,월,False,,False,Ordinary weekday,0
2025-06-17,10233618.0,1,화,False,,False,Ordinary weekday,0
2025-06-18,10313942.0,2,수,False,,False,Ordinary weekday,0
2025-06-19,10350878.0,3,목,False,,False,Ordinary weekday,0
2025-06-20,9952002.0,4,금,False,,False,Ordinary weekday,0
2025-06-21,7490243.0,5,토,True,,False,Ordinary weekend,1
2025-06-22,5661604.0,6,일,True,,False,Ordinary weekend,1
2025-06-23,9993688.0,0,월,False,,False,Ordinary weekday,0
2025-06-24,10116329.0,1,화,False,,False,Ordinary weekday,0
2025-06-25,10081021.0,2,수,False,,False,Ordinary weekday,0
2025-06-26,10301672.0,3,목,False,,False,Ordinary weekday,0
2025-06-27,10593642.0,4,금,False,,False,Ordinary weekday,0
2025-06-28,7332468.0,5,토,True,,False,Ordinary weekend,1
2025-06-29,5377092.0,6,일,True,,False,Ordinary weekend,1
2025-06-30,9682771.0,0,월,False,,False,Ordinary weekday,0
2025-07-01,9765562.0,1,화,False,,False,Ordinary weekday,0
2025-07-02,10036535.0,2,수,False,,False,Ordinary weekday,0
2025-07-03,10053517.0,3,목,False,,False,Ordinary weekday,0
2025-07-04,10425415.0,4,금,False,,False,Ordinary weekday,0
2025-07-05,7429873.0,5,토,True,,False,Ordinary weekend,1
2025-07-06,5420026.0,6,일,True,,False,Ordinary weekend,1
2025-07-07,9685105.0,0,월,False,,False,Ordinary weekday,0
2025-07-08,9778970.0,1,화,False,,False,Ordinary weekday,0
2025-07-09,9852156.0,2,수,False,,False,Ordinary weekday,0
2025-07-10,9943636.0,3,목,False,,False,Ordinary weekday,0
2025-07-11,10314162.0,4,금,False,,False,Ordinary weekday,0
2025-07-12,7288513.0,5,토,True,,False,Ordinary weekend,1
2025-07-13,5213809.0,6,일,True,,False,Ordinary weekend,1
2025-07-14,9556183.0,0,월,False,,False,Ordinary weekday,0
2025-07-15,9817955.0,1,화,False,,False,Ordinary weekday,0
2025-07-16,9734148.0,2,수,False,,False,Ordinary weekday,0
2025-07-17,9399324.0,3,목,False,,False,Ordinary weekday,0
2025-07-18,10115099.0,4,금,False,,False,Ordinary weekday,0
2025-07-19,6994341.0,5,토,True,,False,Ordinary weekend,1
2025-07-20,5487716.0,6,일,True,,False,Ordinary weekend,1
2025-07-21,9643390.0,0,월,False,,False,Ordinary weekday,0
2025-07-22,9855569.0,1,화,False,,False,Ordinary weekday,0
2025-07-23,9924819.0,2,수,False,,False,Ordinary weekday,0
2025-07-24,9953555.0,3,목,False,,False,Ordinary weekday,0
2025-07-25,10142566.0,4,금,False,,False,Ordinary weekday,0
2025-07-26,6892470.0,5,토,True,,False,Ordinary weekend,1
2025-07-27,5102371.0,6,일,True,,False,Ordinary weekend,1
2025-07-28,9218775.0,0,월,False,,False,Ordinary weekday,0
2025-07-29,9403295.0,1,화,False,,False,Ordinary weekday,0
2025-07-30,9540463.0,2,수,False,,False,Ordinary weekday,0
2025-07-31,9521498.0,3,목,False,,False,Ordinary weekday,0
2025-08-01,9459477.0,4,금,False,,False,Ordinary weekday,0
2025-08-02,6429873.0,5,토,True,,False,Ordinary weekend,1
2025-08-03,4898051.0,6,일,True,,False,Ordinary weekend,1
2025-08-04,8894337.0,0,월,False,,False,Ordinary weekday,0
2025-08-05,9327022.0,1,화,False,,False,Ordinary weekday,0
2025-08-06,9100740.0,2,수,False,,False,Ordinary weekday,0
2025-08-07,9665463.0,3,목,False,,False,Ordinary weekday,0
