station_name,weekday_average,weekend_average,holiday_average,overall_average,lines,weekend_ratio,holiday_ratio,relative_weekend_index,weekend_change_rate,station_type,overall_volume_rank,weekend_index_rank
신사,61819,37367,24453,53040,3호선,0.604,0.396,0.932,-39.554,Balanced,47,135
낙성대(강감찬),60054,40569,28917,52988,2호선,0.676,0.482,1.042,-32.445,Balanced,48,77
강변(동서울터미널),55421,48778,41118,52820,2호선,0.88,0.742,1.357,-11.986,Weekend-relative-strong,49,17
화곡,61045,37217,29967,52769,5호선,0.61,0.491,0.94,-39.034,Balanced,50,132
까치산,59653,38299,31504,52220,5호선,0.642,0.528,0.99,-35.798,Balanced,51,103
군자(능동),57761,38500,29630,50914,"5호선, 7호선",0.667,0.513,1.028,-33.346,Balanced,52,82
미아사거리,56431,39327,32123,50386,4호선,0.697,0.569,1.075,-30.31,Balanced,53,61
구의(광진구청),58046,36102,27919,50346,2호선,0.622,0.481,0.959,-37.805,Balanced,54,120
뚝섬,57177,34995,26318,49372,2호선,0.612,0.46,0.944,-38.795,Balanced,55,129
신대방,53665,37512,30199,47930,2호선,0.699,0.563,1.078,-30.101,Balanced,56,60
신당,51973,36423,28592,46410,"2호선, 6호선",0.701,0.55,1.081,-29.92,Balanced,57,59
